Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2025-06-13,2158,653.0,656.0,617.0,617.0,617.0,391500
2025-06-16,2158,618.0,632.0,612.0,627.0,627.0,162700
2025-06-17,2158,628.0,643.0,627.0,633.0,633.0,148200
2025-01-06,4165,1024.0,1037.0,964.0,969.0,969.0,1125700
2025-01-07,4165,980.0,996.0,964.0,965.0,965.0,813900
2025-01-08,4165,950.0,958.0,939.0,958.0,958.0,603000
2025-01-09,4165,959.0,961.0,932.0,933.0,933.0,636500
2025-01-10,4165,925.0,941.0,912.0,915.0,915.0,611600
2025-01-14,4165,904.0,909.0,882.0,891.0,891.0,713800
2025-01-15,4165,891.0,898.0,863.0,880.0,880.0,844900
2025-01-16,4165,890.0,897.0,854.0,865.0,865.0,797200
2025-01-17,4165,852.0,856.0,840.0,850.0,850.0,600300
2025-01-20,4165,859.0,867.0,853.0,856.0,856.0,523500
2025-01-21,4165,860.0,862.0,841.0,846.0,846.0,577200
2025-01-22,4165,850.0,855.0,825.0,835.0,835.0,658400
2025-01-23,4165,830.0,837.0,819.0,821.0,821.0,497600
2025-01-24,4165,819.0,850.0,819.0,844.0,844.0,743100
2025-01-27,4165,850.0,868.0,821.0,850.0,850.0,1355900
2025-01-28,4165,838.0,861.0,837.0,852.0,852.0,746100
2025-01-29,4165,862.0,895.0,852.0,862.0,862.0,1549300
2025-01-30,4165,834.0,850.0,790.0,849.0,849.0,2341900
2025-01-31,4165,850.0,853.0,824.0,825.0,825.0,709100
2025-02-03,4165,825.0,829.0,803.0,808.0,808.0,706700
2025-02-04,4165,823.0,848.0,823.0,835.0,835.0,675600
2025-02-05,4165,841.0,855.0,835.0,836.0,836.0,770400
2025-02-06,4165,847.0,851.0,838.0,846.0,846.0,463000
2025-02-07,4165,848.0,858.0,840.0,851.0,851.0,756800
2025-02-10,4165,851.0,910.0,843.0,897.0,897.0,1909400
2025-02-12,4165,932.0,955.0,912.0,951.0,951.0,2378700
2025-02-13,4165,960.0,966.0,939.0,957.0,957.0,1649900
2025-02-14,4165,1107.0,1107.0,1107.0,1107.0,1107.0,86500
2025-02-17,4165,1347.0,1407.0,1261.0,1301.0,1301.0,12659400
2025-02-18,4165,1250.0,1461.0,1236.0,1420.0,1420.0,11692300
2025-02-19,4165,1423.0,1528.0,1373.0,1483.0,1483.0,11255700
2025-02-20,4165,1507.0,1537.0,1427.0,1490.0,1490.0,7946900
2025-02-21,4165,1470.0,1514.0,1415.0,1478.0,1478.0,5354500
2025-02-25,4165,1450.0,1556.0,1450.0,1544.0,1544.0,4310200
2025-02-26,4165,1550.0,1573.0,1448.0,1464.0,1464.0,4194800
2025-02-27,4165,1438.0,1456.0,1359.0,1390.0,1390.0,4115200
2025-02-28,4165,1372.0,1413.0,1315.0,1329.0,1329.0,3263400
2025-03-03,4165,1350.0,1375.0,1285.0,1294.0,1294.0,2262300
2025-03-04,4165,1250.0,1255.0,1121.0,1135.0,1135.0,4944900
2025-03-05,4165,1149.0,1152.0,1056.0,1067.0,1067.0,3823000
2025-03-06,4165,1081.0,1122.0,1050.0,1094.0,1094.0,3223200
2025-03-07,4165,1046.0,1090.0,1008.0,1022.0,1022.0,3112100
2025-03-10,4165,1027.0,1046.0,999.0,1008.0,1008.0,1770900
2025-03-11,4165,980.0,1041.0,967.0,1038.0,1038.0,2702300
2025-03-12,4165,1035.0,1153.0,1031.0,1126.0,1126.0,4942100
2025-03-13,4165,1151.0,1170.0,1116.0,1139.0,1139.0,3313500
2025-03-14,4165,1130.0,1135.0,1084.0,1114.0,1114.0,1920900
2025-03-17,4165,1134.0,1217.0,1121.0,1185.0,1185.0,2570300
2025-03-18,4165,1189.0,1246.0,1155.0,1167.0,1167.0,2273300
2025-03-19,4165,1150.0,1161.0,1116.0,1144.0,1144.0,1603400
2025-03-21,4165,1138.0,1148.0,1069.0,1069.0,1069.0,1510600
2025-03-24,4165,1098.0,1112.0,1053.0,1062.0,1062.0,1052600
2025-03-25,4165,1088.0,1099.0,1062.0,1079.0,1079.0,743700
2025-03-26,4165,1100.0,1124.0,1059.0,1115.0,1115.0,1355500
2025-03-27,4165,1116.0,1152.0,1096.0,1106.0,1106.0,1759600
2025-03-28,4165,1106.0,1134.0,1070.0,1079.0,1079.0,1029300
2025-03-31,4165,1041.0,1061.0,1032.0,1061.0,1061.0,939400
2025-04-01,4165,1052.0,1052.0,986.0,996.0,996.0,1658600
2025-04-02,4165,1011.0,1038.0,982.0,1023.0,1023.0,1189800
2025-04-03,4165,963.0,1041.0,946.0,1019.0,1019.0,1540900
2025-04-04,4165,1005.0,1018.0,947.0,984.0,984.0,1586100
2025-04-07,4165,909.0,971.0,881.0,911.0,911.0,1780000
2025-04-08,4165,968.0,1013.0,966.0,980.0,980.0,1301800
2025-04-09,4165,960.0,960.0,903.0,939.0,939.0,1408700
2025-04-10,4165,1014.0,1044.0,987.0,1041.0,1041.0,1428200
2025-04-11,4165,997.0,1117.0,993.0,1107.0,1107.0,1699800
2025-04-14,4165,1109.0,1185.0,1095.0,1139.0,1139.0,1808900
2025-04-15,4165,1158.0,1159.0,1092.0,1109.0,1109.0,1265500
2025-04-16,4165,1110.0,1114.0,1053.0,1064.0,1064.0,945000
2025-04-17,4165,1075.0,1105.0,1057.0,1102.0,1102.0,905900
2025-04-18,4165,1112.0,1152.0,1095.0,1138.0,1138.0,975900
2025-04-21,4165,1131.0,1172.0,1128.0,1153.0,1153.0,1073300
2025-04-22,4165,1140.0,1148.0,1092.0,1100.0,1100.0,1099200
2025-04-23,4165,1130.0,1139.0,1097.0,1117.0,1117.0,852500
2025-04-24,4165,1128.0,1128.0,1094.0,1106.0,1106.0,607600
2025-04-25,4165,1118.0,1140.0,1107.0,1117.0,1117.0,696600
2025-04-28,4165,1129.0,1146.0,1115.0,1135.0,1135.0,567400
2025-04-30,4165,1145.0,1148.0,1108.0,1132.0,1132.0,632100
2025-05-01,4165,1135.0,1135.0,1096.0,1104.0,1104.0,619600
2025-05-02,4165,1114.0,1119.0,1082.0,1100.0,1100.0,525500
2025-05-07,4165,1118.0,1131.0,1100.0,1123.0,1123.0,667200
2025-05-08,4165,1127.0,1127.0,1089.0,1107.0,1107.0,730700
2025-05-09,4165,1112.0,1141.0,1101.0,1131.0,1131.0,952600
2025-05-12,4165,1127.0,1158.0,1115.0,1158.0,1158.0,750000
2025-05-13,4165,1182.0,1186.0,1140.0,1174.0,1174.0,1059500
2025-05-14,4165,1176.0,1194.0,1163.0,1194.0,1194.0,889000
2025-05-15,4165,1212.0,1242.0,1186.0,1225.0,1225.0,2419900
2025-05-16,4165,1240.0,1250.0,1065.0,1074.0,1074.0,6992700
2025-05-19,4165,1050.0,1085.0,1015.0,1066.0,1066.0,2438200
2025-05-20,4165,1061.0,1072.0,1031.0,1058.0,1058.0,1403600
2025-05-21,4165,1054.0,1069.0,1023.0,1024.0,1024.0,1140800
2025-05-22,4165,1011.0,1092.0,1007.0,1081.0,1081.0,2032200
2025-05-23,4165,1081.0,1157.0,1076.0,1131.0,1131.0,2364400
2025-05-26,4165,1118.0,1165.0,1085.0,1135.0,1135.0,1474200
2025-05-27,4165,1140.0,1168.0,1131.0,1136.0,1136.0,1173600
2025-05-28,4165,1139.0,1154.0,1098.0,1100.0,1100.0,1509200
2025-05-29,4165,1104.0,1230.0,1091.0,1201.0,1201.0,4403900
2025-05-30,4165,1203.0,1229.0,1161.0,1224.0,1224.0,2097500
2025-06-02,4165,1210.0,1219.0,1183.0,1214.0,1214.0,1188900
2025-06-03,4165,1207.0,1268.0,1191.0,1254.0,1254.0,1445800
2025-06-04,4165,1267.0,1286.0,1212.0,1217.0,1217.0,1083900
2025-06-05,4165,1230.0,1304.0,1220.0,1271.0,1271.0,2239500
2025-06-06,4165,1263.0,1273.0,1163.0,1177.0,1177.0,2121000
2025-06-09,4165,1188.0,1239.0,1182.0,1228.0,1228.0,1443400
2025-06-10,4165,1250.0,1282.0,1221.0,1282.0,1282.0,1689600
2025-06-11,4165,1283.0,1289.0,1230.0,1244.0,1244.0,1180800
2025-06-12,4165,1250.0,1276.0,1244.0,1260.0,1260.0,649900
2025-06-13,4165,1271.0,1271.0,1206.0,1220.0,1220.0,1004200
2025-06-16,4165,1210.0,1255.0,1210.0,1255.0,1255.0,762400
2025-06-17,4165,1257.0,1274.0,1208.0,1229.0,1229.0,973600
2025-01-06,4478,3035.0,3125.0,2923.0,2923.0,2923.0,538800
2025-01-07,4478,3025.0,3090.0,2976.0,3065.0,3065.0,530700
2025-01-08,4478,3030.0,3165.0,2988.0,3145.0,3145.0,436200
2025-01-09,4478,3080.0,3105.0,3025.0,3085.0,3085.0,418700
2025-01-10,4478,3075.0,3275.0,3055.0,3230.0,3230.0,391600
2025-01-14,4478,3215.0,3240.0,3065.0,3090.0,3090.0,267800
2025-01-15,4478,3060.0,3090.0,2800.0,2885.0,2885.0,1540700
2025-01-16,4478,2950.0,2990.0,2827.0,2884.0,2884.0,911300
2025-01-17,4478,2913.0,2976.0,2851.0,2976.0,2976.0,571700
2025-01-20,4478,3000.0,3115.0,2993.0,3095.0,3095.0,389800
2025-01-21,4478,3065.0,3085.0,2905.0,2937.0,2937.0,513900
2025-01-22,4478,2951.0,3035.0,2919.0,2967.0,2967.0,373800
2025-01-23,4478,2967.0,3020.0,2912.0,3005.0,3005.0,370800
2025-01-24,4478,3005.0,3145.0,3005.0,3140.0,3140.0,323300
2025-01-27,4478,3175.0,3185.0,3110.0,3120.0,3120.0,288100
2025-01-28,4478,3155.0,3310.0,3095.0,3285.0,3285.0,341000
2025-01-29,4478,3300.0,3395.0,3290.0,3340.0,3340.0,403800
2025-01-30,4478,3370.0,3425.0,3290.0,3325.0,3325.0,273000
2025-01-31,4478,3325.0,3340.0,3270.0,3285.0,3285.0,252000
2025-02-03,4478,3220.0,3290.0,3175.0,3240.0,3240.0,264600
2025-02-04,4478,3295.0,3320.0,3230.0,3260.0,3260.0,168200
2025-02-05,4478,3300.0,3365.0,3280.0,3335.0,3335.0,198000
2025-02-06,4478,3400.0,3400.0,3320.0,3355.0,3355.0,219500
2025-02-07,4478,3355.0,3395.0,3315.0,3370.0,3370.0,244500
2025-02-10,4478,3380.0,3605.0,3340.0,3600.0,3600.0,959200
2025-02-12,4478,3605.0,3700.0,3570.0,3695.0,3695.0,780100
2025-02-13,4478,3730.0,3815.0,3660.0,3790.0,3790.0,694800
2025-02-14,4478,3850.0,3995.0,3840.0,3950.0,3950.0,1216600
2025-02-17,4478,4150.0,4225.0,3880.0,3900.0,3900.0,1540900
2025-02-18,4478,3965.0,4115.0,3880.0,3895.0,3895.0,984500
2025-02-19,4478,4030.0,4235.0,4000.0,4180.0,4180.0,927200
2025-02-20,4478,4120.0,4230.0,4105.0,4135.0,4135.0,550500
2025-02-21,4478,4100.0,4150.0,4030.0,4120.0,4120.0,394100
2025-02-25,4478,4020.0,4200.0,4020.0,4170.0,4170.0,476400
2025-02-26,4478,4100.0,4165.0,4085.0,4100.0,4100.0,477400
2025-02-27,4478,4170.0,4170.0,4025.0,4100.0,4100.0,549200
2025-02-28,4478,4125.0,4150.0,3850.0,3900.0,3900.0,1030900
2025-03-03,4478,3940.0,3990.0,3845.0,3880.0,3880.0,593900
2025-03-04,4478,3825.0,3840.0,3700.0,3735.0,3735.0,561400
2025-03-05,4478,3760.0,3770.0,3620.0,3655.0,3655.0,471700
2025-03-06,4478,3700.0,3745.0,3660.0,3695.0,3695.0,279000
2025-03-07,4478,3650.0,3685.0,3540.0,3540.0,3540.0,394700
2025-03-10,4478,3570.0,3650.0,3535.0,3650.0,3650.0,390300
2025-03-11,4478,3600.0,3685.0,3520.0,3675.0,3675.0,545000
2025-03-12,4478,3710.0,3855.0,3655.0,3785.0,3785.0,530300
2025-03-13,4478,3840.0,3845.0,3655.0,3690.0,3690.0,324000
2025-03-14,4478,3685.0,3720.0,3595.0,3720.0,3720.0,425700
2025-03-17,4478,3790.0,3875.0,3695.0,3855.0,3855.0,382000
2025-03-18,4478,3875.0,3930.0,3830.0,3855.0,3855.0,248800
2025-03-19,4478,3810.0,3895.0,3775.0,3780.0,3780.0,268200
2025-03-21,4478,3840.0,3840.0,3665.0,3680.0,3680.0,475900
2025-03-24,4478,3720.0,3805.0,3700.0,3725.0,3725.0,228000
2025-03-25,4478,3725.0,3725.0,3655.0,3655.0,3655.0,178900
2025-03-26,4478,3715.0,3745.0,3640.0,3650.0,3650.0,172500
2025-03-27,4478,3580.0,3770.0,3550.0,3770.0,3770.0,310300
2025-03-28,4478,3735.0,3765.0,3630.0,3660.0,3660.0,206000
2025-03-31,4478,3560.0,3625.0,3535.0,3535.0,3535.0,241300
2025-04-01,4478,3505.0,3535.0,3425.0,3435.0,3435.0,265300
2025-04-02,4478,3485.0,3595.0,3420.0,3560.0,3560.0,255300
2025-04-03,4478,3400.0,3675.0,3400.0,3565.0,3565.0,401400
2025-04-04,4478,3480.0,3525.0,3330.0,3395.0,3395.0,381900
2025-04-07,4478,3115.0,3140.0,2987.0,3000.0,3000.0,713600
2025-04-08,4478,3180.0,3310.0,3180.0,3210.0,3210.0,370500
2025-04-09,4478,3140.0,3155.0,3055.0,3095.0,3095.0,336800
2025-04-10,4478,3375.0,3415.0,3260.0,3400.0,3400.0,404900
2025-04-11,4478,3310.0,3605.0,3285.0,3595.0,3595.0,357200
2025-04-14,4478,3635.0,3680.0,3555.0,3580.0,3580.0,262700
2025-04-15,4478,3620.0,3640.0,3580.0,3620.0,3620.0,168100
2025-04-16,4478,3685.0,3745.0,3585.0,3620.0,3620.0,346500
2025-04-17,4478,3660.0,3705.0,3615.0,3690.0,3690.0,179200
2025-04-18,4478,3700.0,3860.0,3680.0,3830.0,3830.0,242900
2025-04-21,4478,3830.0,4060.0,3830.0,4015.0,4015.0,448600
2025-04-22,4478,4015.0,4020.0,3870.0,3940.0,3940.0,266900
2025-04-23,4478,4000.0,4005.0,3830.0,3880.0,3880.0,334800
2025-04-24,4478,4000.0,4120.0,3950.0,4035.0,4035.0,436900
2025-04-25,4478,4090.0,4100.0,3940.0,3960.0,3960.0,304200
2025-04-28,4478,3960.0,4055.0,3950.0,4035.0,4035.0,177500
